"","ID","task","profile","Affiliation.of.the.terrorist","Legal.status.of.the.terrorist","Terrorist.tactic","Motivation.for.the.terrorist.attack","Number.of.deaths","Probability.of.the.attack","selected","progress","finished","durationinseconds"
"230",23,4,1,"Member of a terror cell - operating within an organized group","Immigrant","Vehicle-ramming attack","Jihadism","1","0.1%",NA,24,0,17
"231",24,1,1,"Lone actor - operating alone","Immigrant","Shooting","Right-wing extremism","10","0.1%",0,100,1,250
"232",24,3,2,"Lone actor - operating alone","Immigrant","Shooting","Jihadism","1","1%",0,100,1,250
"233",24,4,1,"Member of a terror cell - operating within an organized group","Citizen","Non-suicidal bombing","Jihadism","1","1%",0,100,1,250
"234",24,5,2,"Member of a terror cell - operating within an organized group","Immigrant","Suicidal bombing","Right-wing extremism","100","0.1%",0,100,1,250
"235",24,2,2,"Member of a terror cell - operating within an organized group","Citizen","Stabbing","Jihadism","1","0.1%",0,100,1,250
"236",24,4,2,"Member of a terror cell - operating within an organized group","Citizen","Vehicle-ramming attack","Jihadism","100","1%",1,100,1,250
"237",24,5,1,"Lone actor - operating alone","Immigrant","Shooting","Right-wing extremism","100","1%",1,100,1,250
"238",24,1,2,"Lone actor - operating alone","Citizen","Vehicle-ramming attack","Jihadism","100","1%",1,100,1,250
"239",24,3,1,"Member of a terror cell - operating within an organized group","Immigrant","Shooting","Right-wing extremism","100","10%",1,100,1,250
"240",24,2,1,"Lone actor - operating alone","Citizen","Suicidal bombing","Right-wing extremism","1","1%",1,100,1,250
"241",25,5,2,"Lone actor - operating alone","Citizen","Non-suicidal bombing","Jihadism","10","0.1%",0,100,1,234
"242",25,2,1,"Member of a terror cell - operating within an organized group","Immigrant","Non-suicidal bombing","Right-wing extremism","10","1%",1,100,1,234
"243",25,4,1,"Member of a terror cell - operating within an organized group","Citizen","Suicidal bombing","Right-wing extremism","10","10%",1,100,1,234
"244",25,3,2,"Lone actor - operating alone","Immigrant","Suicidal bombing","Jihadism","10","0.1%",0,100,1,234
"245",25,4,2,"Lone actor - operating alone","Immigrant","Vehicle-ramming attack","Jihadism","10","0.1%",0,100,1,234
"246",25,1,1,"Member of a terror cell - operating within an organized group","Citizen","Non-suicidal bombing","Jihadism","10","0.1%",0,100,1,234
"247",25,3,1,"Member of a terror cell - operating within an organized group","Immigrant","Vehicle-ramming attack","Right-wing extremism","10","0.1%",1,100,1,234
"248",25,5,1,"Member of a terror cell - operating within an organized group","Citizen","Shooting","Right-wing extremism","10","1%",1,100,1,234
"249",25,1,2,"Lone actor - operating alone","Immigrant","Non-suicidal bombing","Right-wing extremism","10","1%",1,100,1,234
"250",25,2,2,"Member of a terror cell - operating within an organized group","Immigrant","Vehicle-ramming attack","Right-wing extremism","1","1%",0,100,1,234
"251",26,1,2,"Lone actor - operating alone","Citizen","Suicidal bombing","Right-wing extremism","1","10%",1,100,1,22759
"252",26,5,1,"Lone actor - operating alone","Citizen","Shooting","Right-wing extremism","1","1%",0,100,1,22759
"253",26,3,1,"Lone actor - operating alone","Immigrant","Vehicle-ramming attack","Right-wing extremism","1","0.1%",0,100,1,22759
"254",26,4,1,"Member of a terror cell - operating within an organized group","Immigrant","Shooting","Jihadism","100","0.1%",1,100,1,22759
"255",26,3,2,"Lone actor - operating alone","Immigrant","Suicidal bombing","Right-wing extremism","10","0.1%",1,100,1,22759
"256",26,2,2,"Lone actor - operating alone","Citizen","Shooting","Jihadism","1","0.1%",0,100,1,22759
"257",26,4,2,"Member of a terror cell - operating within an organized group","Citizen","Shooting","Right-wing extremism","100","1%",0,100,1,22759
"258",26,2,1,"Member of a terror cell - operating within an organized group","Citizen","Non-suicidal bombing","Jihadism","100","0.1%",1,100,1,22759
"259",26,5,2,"Member of a terror cell - operating within an organized group","Immigrant","Vehicle-ramming attack","Right-wing extremism","100","1%",1,100,1,22759
"260",26,1,1,"Member of a terror cell - operating within an organized group","Immigrant","Stabbing","Right-wing extremism","1","10%",0,100,1,22759
"261",27,4,1,"Member of a terror cell - operating within an organized group","Immigrant","Shooting","Right-wing extremism","100","0.1%",1,100,1,413
"262",27,1,2,"Member of a terror cell - operating within an organized group","Immigrant","Suicidal bombing","Jihadism","1","1%",0,100,1,413
"263",27,5,2,"Lone actor - operating alone","Citizen","Non-suicidal bombing","Jihadism","1","0.1%",0,100,1,413
"264",27,2,1,"Lone actor - operating alone","Immigrant","Suicidal bombing","Right-wing extremism","100","10%",1,100,1,413
"265",27,5,1,"Lone actor - operating alone","Immigrant","Shooting","Jihadism","100","1%",1,100,1,413
"266",27,4,2,"Lone actor - operating alone","Citizen","Non-suicidal bombing","Right-wing extremism","10","1%",0,100,1,413
"267",27,3,1,"Lone actor - operating alone","Immigrant","Shooting","Jihadism","10","1%",0,100,1,413
"268",27,1,1,"Lone actor - operating alone","Citizen","Shooting","Right-wing extremism","10","0.1%",1,100,1,413
"269",27,3,2,"Member of a terror cell - operating within an organized group","Citizen","Vehicle-ramming attack","Right-wing extremism","100","10%",1,100,1,413
"270",27,2,2,"Lone actor - operating alone","Citizen","Non-suicidal bombing","Jihadism","100","0.1%",0,100,1,413
"271",28,1,1,"Member of a terror cell - operating within an organized group","Citizen","Vehicle-ramming attack","Jihadism","100","1%",NA,24,0,91
"272",28,2,2,"Lone actor - operating alone","Citizen","Suicidal bombing","Jihadism","10","1%",NA,24,0,91
"273",28,4,1,"Member of a terror cell - operating within an organized group","Citizen","Shooting","Jihadism","1","10%",NA,24,0,91
"274",28,1,2,"Member of a terror cell - operating within an organized group","Immigrant","Non-suicidal bombing","Right-wing extremism","1","1%",NA,24,0,91
"275",28,5,2,"Lone actor - operating alone","Citizen","Stabbing","Right-wing extremism","1","0.1%",NA,24,0,91
"276",28,2,1,"Member of a terror cell - operating within an organized group","Citizen","Shooting","Right-wing extremism","100","10%",NA,24,0,91
"277",28,5,1,"Lone actor - operating alone","Immigrant","Non-suicidal bombing","Jihadism","10","10%",NA,24,0,91
"278",28,3,1,"Lone actor - operating alone","Immigrant","Vehicle-ramming attack","Right-wing extremism","10","1%",NA,24,0,91
"279",28,3,2,"Lone actor - operating alone","Citizen","Stabbing","Right-wing extremism","1","10%",NA,24,0,91
"280",28,4,2,"Lone actor - operating alone","Immigrant","Shooting","Jihadism","1","1%",NA,24,0,91
"281",29,1,2,"Member of a terror cell - operating within an organized group","Citizen","Vehicle-ramming attack","Right-wing extremism","1","1%",0,100,1,205
"282",29,1,1,"Member of a terror cell - operating within an organized group","Immigrant","Shooting","Jihadism","100","1%",1,100,1,205
"283",29,4,1,"Lone actor - operating alone","Immigrant","Stabbing","Jihadism","1","1%",0,100,1,205
"284",29,4,2,"Lone actor - operating alone","Citizen","Non-suicidal bombing","Jihadism","100","10%",1,100,1,205
"285",29,3,1,"Member of a terror cell - operating within an organized group","Immigrant","Shooting","Jihadism","10","1%",1,100,1,205
"286",29,2,1,"Lone actor - operating alone","Citizen","Shooting","Jihadism","10","1%",1,100,1,205
"287",29,2,2,"Lone actor - operating alone","Immigrant","Shooting","Right-wing extremism","1","10%",0,100,1,205
"288",29,5,2,"Lone actor - operating alone","Immigrant","Stabbing","Right-wing extremism","10","1%",1,100,1,205
"289",29,5,1,"Lone actor - operating alone","Citizen","Suicidal bombing","Jihadism","1","10%",0,100,1,205
"290",29,3,2,"Member of a terror cell - operating within an organized group","Immigrant","Vehicle-ramming attack","Right-wing extremism","10","1%",0,100,1,205
"291",30,4,1,"Lone actor - operating alone","Citizen","Vehicle-ramming attack","Right-wing extremism","1","10%",0,100,1,122
"292",30,3,2,"Lone actor - operating alone","Citizen","Non-suicidal bombing","Right-wing extremism","10","1%",1,100,1,122
"293",30,1,2,"Lone actor - operating alone","Citizen","Shooting","Jihadism","1","10%",0,100,1,122
"294",30,1,1,"Member of a terror cell - operating within an organized group","Immigrant","Non-suicidal bombing","Right-wing extremism","10","1%",1,100,1,122
"295",30,5,1,"Lone actor - operating alone","Citizen","Non-suicidal bombing","Jihadism","100","10%",1,100,1,122
"296",30,2,2,"Lone actor - operating alone","Citizen","Non-suicidal bombing","Right-wing extremism","10","1%",1,100,1,122
"297",30,5,2,"Member of a terror cell - operating within an organized group","Immigrant","Vehicle-ramming attack","Right-wing extremism","100","1%",0,100,1,122
"298",30,4,2,"Lone actor - operating alone","Citizen","Non-suicidal bombing","Right-wing extremism","100","10%",1,100,1,122
"299",30,2,1,"Member of a terror cell - operating within an organized group","Immigrant","Non-suicidal bombing","Right-wing extremism","10","0.1%",0,100,1,122
"300",30,3,1,"Member of a terror cell - operating within an organized group","Immigrant","Shooting","Right-wing extremism","10","1%",0,100,1,122
"301",31,3,2,"Member of a terror cell - operating within an organized group","Citizen","Shooting","Jihadism","1","0.1%",1,100,1,163
"302",31,2,1,"Member of a terror cell - operating within an organized group","Citizen","Suicidal bombing","Jihadism","100","1%",1,100,1,163
"303",31,1,2,"Lone actor - operating alone","Citizen","Vehicle-ramming attack","Jihadism","10","1%",0,100,1,163
"304",31,4,2,"Lone actor - operating alone","Citizen","Vehicle-ramming attack","Jihadism","100","1%",0,100,1,163
"305",31,5,1,"Lone actor - operating alone","Citizen","Non-suicidal bombing","Right-wing extremism","1","1%",0,100,1,163
"306",31,5,2,"Member of a terror cell - operating within an organized group","Immigrant","Shooting","Right-wing extremism","1","1%",1,100,1,163
"307",31,1,1,"Lone actor - operating alone","Immigrant","Non-suicidal bombing","Right-wing extremism","100","1%",1,100,1,163
"308",31,3,1,"Lone actor - operating alone","Immigrant","Shooting","Jihadism","10","1%",0,100,1,163
"309",31,4,1,"Lone actor - operating alone","Citizen","Vehicle-ramming attack","Right-wing extremism","10","10%",1,100,1,163
"310",31,2,2,"Member of a terror cell - operating within an organized group","Immigrant","Shooting","Jihadism","1","0.1%",0,100,1,163
"311",32,3,2,"Lone actor - operating alone","Citizen","Shooting","Jihadism","10","1%",0,100,1,143
"312",32,5,2,"Lone actor - operating alone","Immigrant","Non-suicidal bombing","Jihadism","100","0.1%",1,100,1,143
"313",32,3,1,"Member of a terror cell - operating within an organized group","Citizen","Shooting","Right-wing extremism","100","1%",1,100,1,143
"314",32,4,1,"Member of a terror cell - operating within an organized group","Citizen","Suicidal bombing","Right-wing extremism","1","1%",0,100,1,143
"315",32,4,2,"Member of a terror cell - operating within an organized group","Immigrant","Vehicle-ramming attack","Jihadism","10","10%",1,100,1,143
"316",32,1,1,"Lone actor - operating alone","Immigrant","Stabbing","Right-wing extremism","1","1%",0,100,1,143
"317",32,5,1,"Lone actor - operating alone","Immigrant","Shooting","Right-wing extremism","1","1%",0,100,1,143
"318",32,2,1,"Lone actor - operating alone","Immigrant","Shooting","Right-wing extremism","1","1%",0,100,1,143
"319",32,2,2,"Member of a terror cell - operating within an organized group","Immigrant","Non-suicidal bombing","Jihadism","1","10%",1,100,1,143
"320",32,1,2,"Lone actor - operating alone","Citizen","Stabbing","Jihadism","1","10%",1,100,1,143
"321",33,4,2,"Member of a terror cell - operating within an organized group","Immigrant","Non-suicidal bombing","Right-wing extremism","10","0.1%",0,100,1,193
"322",33,1,1,"Member of a terror cell - operating within an organized group","Citizen","Suicidal bombing","Right-wing extremism","1","0.1%",0,100,1,193
"323",33,5,1,"Lone actor - operating alone","Immigrant","Suicidal bombing","Jihadism","100","0.1%",1,100,1,193
"324",33,2,1,"Lone actor - operating alone","Citizen","Vehicle-ramming attack","Jihadism","100","0.1%",0,100,1,193
"325",33,1,2,"Member of a terror cell - operating within an organized group","Immigrant","Suicidal bombing","Jihadism","1","0.1%",1,100,1,193
"326",33,3,2,"Lone actor - operating alone","Citizen","Vehicle-ramming attack","Right-wing extremism","10","1%",1,100,1,193
"327",33,5,2,"Member of a terror cell - operating within an organized group","Citizen","Shooting","Jihadism","1","1%",0,100,1,193
"328",33,2,2,"Lone actor - operating alone","Immigrant","Vehicle-ramming attack","Jihadism","100","1%",1,100,1,193
"329",33,4,1,"Member of a terror cell - operating within an organized group","Citizen","Shooting","Jihadism","100","10%",1,100,1,193
"330",33,3,1,"Lone actor - operating alone","Citizen","Stabbing","Right-wing extremism","1","1%",0,100,1,193
"331",34,5,2,"Member of a terror cell - operating within an organized group","Citizen","Stabbing","Jihadism","1","0.1%",0,100,1,236
"332",34,4,2,"Member of a terror cell - operating within an organized group","Citizen","Suicidal bombing","Jihadism","1","0.1%",0,100,1,236
"333",34,2,2,"Lone actor - operating alone","Citizen","Vehicle-ramming attack","Jihadism","10","1%",0,100,1,236
"334",34,1,2,"Member of a terror cell - operating within an organized group","Citizen","Non-suicidal bombing","Jihadism","100","0.1%",0,100,1,236
"335",34,5,1,"Lone actor - operating alone","Citizen","Non-suicidal bombing","Jihadism","100","0.1%",1,100,1,236
"336",34,4,1,"Lone actor - operating alone","Immigrant","Suicidal bombing","Jihadism","100","10%",1,100,1,236
"337",34,2,1,"Lone actor - operating alone","Citizen","Vehicle-ramming attack","Right-wing extremism","100","10%",1,100,1,236
"338",34,3,2,"Member of a terror cell - operating within an organized group","Immigrant","Vehicle-ramming attack","Right-wing extremism","100","10%",1,100,1,236
"339",34,1,1,"Member of a terror cell - operating within an organized group","Immigrant","Non-suicidal bombing","Right-wing extremism","100","0.1%",1,100,1,236
"340",34,3,1,"Lone actor - operating alone","Citizen","Shooting","Jihadism","1","10%",0,100,1,236
"341",35,5,1,"Member of a terror cell - operating within an organized group","Citizen","Non-suicidal bombing","Right-wing extremism","100","10%",1,100,1,223
"342",35,4,2,"Member of a terror cell - operating within an organized group","Citizen","Shooting","Right-wing extremism","100","0.1%",0,100,1,223
"343",35,1,1,"Member of a terror cell - operating within an organized group","Citizen","Non-suicidal bombing","Jihadism","1","1%",1,100,1,223
"344",35,5,2,"Lone actor - operating alone","Citizen","Stabbing","Right-wing extremism","10","1%",0,100,1,223
"345",35,4,1,"Member of a terror cell - operating within an organized group","Immigrant","Non-suicidal bombing","Right-wing extremism","100","1%",1,100,1,223
"346",35,1,2,"Member of a terror cell - operating within an organized group","Citizen","Vehicle-ramming attack","Right-wing extremism","10","0.1%",0,100,1,223
"347",35,3,2,"Member of a terror cell - operating within an organized group","Citizen","Stabbing","Right-wing extremism","10","10%",0,100,1,223
"348",35,2,2,"Lone actor - operating alone","Immigrant","Vehicle-ramming attack","Jihadism","100","10%",0,100,1,223
"349",35,2,1,"Member of a terror cell - operating within an organized group","Immigrant","Non-suicidal bombing","Jihadism","1","10%",1,100,1,223
"350",35,3,1,"Lone actor - operating alone","Immigrant","Non-suicidal bombing","Right-wing extremism","100","1%",1,100,1,223
