treatment,treatment_binary,fire_judges,disobey_justice_2,overthrow_institutions,power_institutions,anti_democratic_index,strong_leader,check_corruption,angry,scared,optimistic,nervous,male,age,socioeconomic_level,political_interest,pres_approval,region,morena,nonpartisan,otherpartisan
Control,0,2,3,3,3,2.75,4,5,3,1,4,1,1,25,5,2,5,1,1,0,0
Trash-talking,1,4,5,5,5,4.75,2,10,5,2,1,1,0,63,3,3,1,1,0,0,1
Control,0,3,4,4,3,3.5,4,6,2,1,3,1,0,48,6,2,4,3,1,0,0
Control,0,4,4,3,4,3.75,2,8,2,3,4,2,1,42,3,1,4,2,0,1,0
Control,0,5,5,5,5,5,4,10,5,1,1,1,1,43,2,4,5,4,1,0,0
Control,0,2,3,4,2,2.75,1,10,1,1,3,1,0,65,5,2,4,1,0,0,1
Trash-talking,1,4,4,3,4,3.75,3,6,4,1,2,1,0,31,5,2,5,5,1,0,0
Control,0,2,3,4,2,2.75,4,5,1,1,2,1,1,24,3,3,3,3,0,0,1
Trash-talking,1,1,1,1,1,1,1,3,5,4,1,4,1,41,1,3,1,4,0,1,0
Control,0,1,5,2,2,2.5,2,6,1,1,1,1,1,21,4,3,3,3,0,1,0
Control,0,3,2,1,4,2.5,3,10,1,1,4,1,0,23,3,3,4,4,1,0,0
Control,0,3,4,3,3,3.25,2,7,2,2,2,2,0,68,5,2,3,6,0,1,0
Control,0,3,3,2,4,3,3,7,2,1,3,2,0,20,4,3,4,6,1,0,0
Control,0,1,2,3,3,2.25,3,7,1,1,3,1,0,19,2,3,5,6,1,0,0
Trash-talking,1,2,3,3,2,2.5,4,8,1,4,1,4,0,23,1,2,1,3,0,1,0
Control,0,5,1,5,5,4,5,5,1,1,4,2,1,37,3,4,5,2,1,0,0
Control,0,1,4,4,4,3.25,3,4,3,1,5,1,0,38,5,3,5,4,1,0,0
Control,0,4,4,4,4,4,4,4,3,1,5,1,0,26,4,2,4,4,1,0,0
Control,0,1,3,2,2,2,4,7,3,1,2,1,1,20,1,2,2,1,0,1,0
Control,0,3,2,4,2,2.75,3,10,3,1,1,1,0,29,5,2,2,5,0,1,0
Trash-talking,1,2,1,3,1,1.75,2,10,3,2,3,2,0,42,6,1,1,5,0,0,1
Trash-talking,1,1,5,2,1,2.25,5,7,1,4,2,2,0,31,5,2,5,3,1,0,0
Trash-talking,1,3,5,3,5,4,2,10,5,4,2,2,0,22,5,3,3,3,0,0,1
Control,0,4,4,5,4,4.25,4,10,1,1,2,1,0,36,5,1,4,1,0,1,0
Trash-talking,1,3,3,3,3,3,3,10,3,1,3,1,0,39,5,2,5,6,0,1,0
Trash-talking,1,5,4,4,4,4.25,4,10,4,3,4,2,1,53,5,4,5,5,0,0,1
Control,0,2,2,4,1,2.25,2,10,5,5,2,5,1,73,3,4,4,6,1,0,0
Control,0,5,5,3,5,4.5,5,10,5,4,4,2,1,61,4,4,5,6,1,0,0
Trash-talking,1,3,4,4,2,3.25,5,9,4,3,3,2,1,27,3,3,5,2,1,0,0
Control,0,1,2,2,1,1.5,2,10,2,2,2,2,0,52,1,3,1,2,0,0,1
Control,0,1,1,3,1,1.5,1,7,4,3,1,4,1,63,3,3,1,2,0,0,1
Control,0,2,4,2,2,2.5,4,10,4,5,4,4,1,62,3,3,1,3,0,0,1
Control,0,1,3,3,3,2.5,4,5,1,1,3,1,1,64,5,2,4,5,0,0,1
Control,0,3,3,3,3,3,4,6,1,2,2,2,1,44,6,2,3,4,1,0,0
Control,0,1,3,1,2,1.75,3,8,3,1,4,1,1,19,2,3,4,1,1,0,0
Control,0,3,4,4,5,4,2,10,3,2,4,2,1,51,4,3,4,3,1,0,0
Control,0,5,4,3,4,4,3,10,1,1,4,1,1,37,2,3,5,4,1,0,0
Trash-talking,1,4,5,3,3,3.75,4,10,3,1,4,2,1,67,2,3,4,3,0,0,0
Trash-talking,1,3,3,5,4,3.75,3,10,3,1,3,1,0,24,4,2,5,6,1,0,0
Trash-talking,1,1,2,5,1,2.25,2,9,1,1,1,1,1,58,4,4,2,6,0,1,0
Trash-talking,1,2,4,2,2,2.5,4,8,4,2,2,3,1,31,1,3,2,6,0,0,1
Control,0,2,2,1,2,1.75,5,8,1,2,4,1,1,42,3,4,4,2,1,0,0
Control,0,3,3,2,3,2.75,3,10,1,2,2,1,0,34,5,2,4,4,0,0,0
Control,0,1,2,4,1,2,2,10,4,4,2,4,0,46,5,1,1,3,0,0,0
Control,0,2,2,2,4,2.5,4,6,2,1,3,2,1,21,2,3,4,2,1,0,0
Control,0,2,4,2,2,2.5,4,10,4,4,2,2,0,51,1,2,2,2,0,0,0
Control,0,2,4,3,1,2.5,2,8,3,2,3,2,0,35,1,2,2,4,0,0,1
Trash-talking,1,3,3,3,3,3,3,10,1,1,1,1,0,35,3,1,3,1,0,1,0
Control,0,4,4,2,2,3,4,10,2,1,4,1,0,33,5,4,4,5,0,1,0
Trash-talking,1,4,4,3,4,3.75,4,10,3,3,3,3,0,36,6,3,5,3,1,0,0
Trash-talking,1,3,3,5,3,3.5,4,8,3,4,3,2,0,27,5,3,3,4,0,1,0
Trash-talking,1,2,2,4,2,2.5,4,8,3,2,3,3,1,42,6,3,2,4,0,0,1
Control,0,3,5,3,5,4,5,10,1,1,2,3,0,42,5,2,4,5,0,1,0
Control,0,4,3,4,4,3.75,3,7,1,2,3,2,1,57,3,2,4,3,1,0,0
Trash-talking,1,2,2,2,4,2.5,2,7,3,3,3,1,1,22,1,3,2,2,1,0,0
Trash-talking,1,2,1,3,4,2.5,3,8,3,3,4,3,0,22,5,2,5,2,1,0,0
Trash-talking,1,4,5,3,4,4,3,10,4,4,3,3,0,33,5,3,5,5,1,0,0
